,Unnamed: 0,mainInfo,location,point,latitude,longitude,altitude
132,132,Sakrand,"سکرنڈ, سندھ, پاکستان","(26.1359715, 68.2734653, 0.0)",26.1359715,68.2734653,0
133,133,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
134,134,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
135,135,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
136,136,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
137,137,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
138,138,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
139,139,Quetta,"کوئٹہ, بلوچستان, 87300, پاکستان","(30.1957677, 67.0172447, 0.0)",30.1957677,67.0172447,0
140,140,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
141,141,Khairpur,"Khairpur, Siana, Bulandshahr, Uttar Pradesh, 203402, India","(27.5256, 68.7551, 0.0)",27.5256,68.7551,0
142,142,Shikarpur,"Shikarpur, Bulandshahr, Uttar Pradesh, India","(27.9570, 68.6380, 0.0)",27.957,68.638,0
143,143,Tando Jam,"ٹنڈو جام, سندھ, پاکستان","(25.4245266, 68.5296162, 0.0)",25.4245266,68.5296162,0
144,144,Daharki,"ڈھرکی‎, سندھ, پاکستان","(28.052158, 69.7030649, 0.0)",28.052158,69.7030649,0
145,145,Kashmore,"کشمور, سندھ, پاکستان","(28.4322915, 69.5814755, 0.0)",28.4322915,69.5814755,0
146,146,Khairpur,"Khairpur, Siana, Bulandshahr, Uttar Pradesh, 203402, India","(27.5256, 68.7551, 0.0)",27.5256,68.7551,0
